BTop,BJng,BMid,BAdc,BSup,RTop,RJng,RMid,RAdc,RSup,Winner
0.515086,0.484211,0.502868,0.472814,0.522581,0.558252,0.509972,0.513423,0.503883,0.504491,1
0.496333,0.511305,0.533333,0.525246,0.526119,0.533592,0.467456,0.467672,0.504505,0.496114,1
0.507547,0.507246,0.538071,0.498113,0.4884,0.520455,0.460425,0.501018,0.503883,0.473513,0
0.448718,0.511305,0.538071,0.525246,0.533061,0.467456,0.49184,0.505703,0.476318,0.484816,0
0.524364,0.543799,0.497972,0.488225,0.529592,0.508671,0.467456,0.481038,0.503883,0.516721,0
0.471641,0.548387,0.454039,0.523989,0.464,0.513656,0.49184,0.505703,0.503883,0.479401,1
0.501906,0.518156,0.485014,0.525246,0.516461,0.508671,0.467456,0.467672,0.580645,0.473513,0
0.471641,0.518156,0.538071,0.498615,0.516461,0.462121,0.458839,0.532258,0.457083,0.504491,0
0.538462,0.504,0.561508,0.525246,0.474946,0.558252,0.5,0.559211,0.499863,0.516721,0
0.507547,0.511305,0.522516,0.505829,0.4884,0.513656,0.518456,0.478673,0.490047,0.516721,1
0.523404,0.509764,0.515759,0.531915,0.4884,0.465217,0.516214,0.544974,0.476318,0.516721,0
0.480663,0.518519,0.421169,0.525246,0.464,0.487414,0.515873,0.505703,0.457083,0.527418,1
0.498824,0.548387,0.481994,0.472814,0.464,0.508671,0.502106,0.501018,0.532967,0.516721,1
0.52983,0.47432,0.491429,0.525246,0.464,0.493976,0.460425,0.50303,0.470158,0.516721,0
0.501906,0.497863,0.561508,0.498615,0.516461,0.556116,0.502106,0.513423,0.470158,0.509198,1
0.517039,0.525963,0.485014,0.525246,0.516461,0.513656,0.486278,0.544974,0.499863,0.484816,1
0.523404,0.543799,0.51137,0.525246,0.533061,0.511848,0.539535,0.541667,0.504505,0.504491,0
0.471641,0.451613,0.481521,0.525246,0.516461,0.466042,0.463158,0.454766,0.504505,0.439394,1
0.542403,0.561508,0.502868,0.488225,0.516461,0.477273,0.516214,0.505703,0.499863,0.509198,0
0.428571,0.525963,0.481521,0.5286,0.534702,0.533592,0.556116,0.447368,0.496782,0.424386,0
0.501906,0.438356,0.565594,0.488225,0.561086,0.536116,0.506151,0.513423,0.622642,0.473513,1
0.465714,0.518156,0.501906,0.57764,0.502674,0.493827,0.488754,0.503916,0.490047,0.496114,0
0.448718,0.511305,0.502868,0.525246,0.533061,0.47907,0.463158,0.445918,0.457083,0.424386,0
